round,config,avg_score,ts
87,ungrounded,,1785690964
87,lexical,,1785690964
87,vector,,1785690964
88,ungrounded,,1785690964
88,lexical,,1785690964
88,vector,,1785690964
89,ungrounded,,1785690964
89,lexical,,1785690964
89,vector,,1785690964
90,ungrounded,,1785690964
90,lexical,,1785690964
90,vector,,1785690964
91,ungrounded,,1785690964
91,lexical,,1785690964
91,vector,,1785690964
92,ungrounded,,1785690964
92,lexical,,1785690964
92,vector,,1785690964
93,ungrounded,,1785690964
93,lexical,,1785690964
93,vector,,1785690964
94,ungrounded,,1785690964
94,lexical,,1785690964
94,vector,,1785690964
95,ungrounded,,1785690964
95,lexical,,1785690964
95,vector,,1785690964
96,ungrounded,,1785690964
96,lexical,,1785690964
96,vector,,1785690964
97,ungrounded,,1785690964
97,lexical,,1785690964
97,vector,,1785690964
98,ungrounded,,1785690964
98,lexical,,1785690964
98,vector,,1785690964
99,ungrounded,,1785690964
99,lexical,,1785690964
99,vector,,1785690964
100,ungrounded,,1785690965
100,lexical,,1785690965
100,vector,,1785690965
101,ungrounded,,1785690965
101,lexical,,1785690965
101,vector,,1785690965
102,ungrounded,,1785690965
102,lexical,,1785690965
102,vector,,1785690965
103,ungrounded,,1785690965
103,lexical,,1785690965
103,vector,,1785690965
104,ungrounded,,1785690965
104,lexical,,1785690965
104,vector,,1785690965
105,ungrounded,,1785690965
105,lexical,,1785690965
105,vector,,1785690965
106,ungrounded,,1785690965
106,lexical,,1785690965
106,vector,,1785690965
107,ungrounded,,1785690965
107,lexical,,1785690965
107,vector,,1785690965
108,ungrounded,,1785690965
108,lexical,,1785690965
108,vector,,1785690965
109,ungrounded,,1785690965
109,lexical,,1785690965
109,vector,,1785690965
110,ungrounded,,1785690965
110,lexical,,1785690965
110,vector,,1785690965
111,ungrounded,,1785690965
111,lexical,,1785690965
111,vector,,1785690965
112,ungrounded,,1785690965
112,lexical,,1785690965
112,vector,,1785690965
113,ungrounded,,1785690965
113,lexical,,1785690965
113,vector,,1785690965
114,ungrounded,,1785690965
114,lexical,,1785690965
114,vector,,1785690965
115,ungrounded,,1785690965
115,lexical,,1785690965
115,vector,,1785690965
116,ungrounded,,1785690965
116,lexical,,1785690965
116,vector,,1785690965
117,ungrounded,,1785690965
117,lexical,,1785690965
117,vector,,1785690965
118,ungrounded,,1785690965
118,lexical,,1785690965
118,vector,,1785690965
119,ungrounded,,1785690965
119,lexical,,1785690965
119,vector,,1785690965
120,ungrounded,,1785690965
120,lexical,,1785690965
120,vector,,1785690965
121,ungrounded,,1785690965
121,lexical,,1785690965
121,vector,,1785690965
122,ungrounded,,1785690965
122,lexical,,1785690965
122,vector,,1785690965
123,ungrounded,,1785690965
123,lexical,,1785690965
123,vector,,1785690965
124,ungrounded,,1785690965
124,lexical,,1785690965
124,vector,,1785690965
125,ungrounded,,1785690965
125,lexical,,1785690965
125,vector,,1785690965
126,ungrounded,,1785690965
126,lexical,,1785690965
126,vector,,1785690965
127,ungrounded,,1785690965
127,lexical,,1785690965
127,vector,,1785690965
128,ungrounded,,1785690965
128,lexical,,1785690965
128,vector,,1785690965
129,ungrounded,,1785690965
129,lexical,,1785690965
129,vector,,1785690965
130,ungrounded,,1785690965
130,lexical,,1785690965
130,vector,,1785690965
131,ungrounded,,1785690965
131,lexical,,1785690965
131,vector,,1785690966
132,ungrounded,,1785690966
132,lexical,,1785690966
132,vector,,1785690966
133,ungrounded,,1785690966
133,lexical,,1785690966
133,vector,,1785690966
134,ungrounded,,1785690966
134,lexical,,1785690966
134,vector,,1785690966
135,ungrounded,,1785690966
135,lexical,,1785690966
135,vector,,1785690966
136,ungrounded,,1785690966
136,lexical,,1785690966
136,vector,,1785690966
137,ungrounded,,1785690966
137,lexical,,1785690966
137,vector,,1785690966
138,ungrounded,,1785690966
138,lexical,,1785690966
138,vector,,1785690966
139,ungrounded,,1785690966
139,lexical,,1785690966
139,vector,,1785690966
140,ungrounded,,1785690966
140,lexical,,1785690966
140,vector,,1785690966
141,ungrounded,,1785690966
141,lexical,,1785690966
141,vector,,1785690966
142,ungrounded,,1785690966
142,lexical,,1785690966
142,vector,,1785690966
143,ungrounded,,1785690966
143,lexical,,1785690966
143,vector,,1785690966
144,ungrounded,,1785690966
144,lexical,,1785690966
144,vector,,1785690966
145,ungrounded,,1785690966
145,lexical,,1785690966
145,vector,,1785690966
146,ungrounded,,1785690966
146,lexical,,1785690966
146,vector,,1785690966
147,ungrounded,,1785690966
147,lexical,,1785690966
147,vector,,1785690966
148,ungrounded,,1785690966
148,lexical,,1785690966
148,vector,,1785690966
149,ungrounded,,1785690966
149,lexical,,1785690966
149,vector,,1785690966
150,ungrounded,,1785690966
150,lexical,,1785690966
150,vector,,1785690966
151,ungrounded,,1785690966
151,lexical,,1785690966
151,vector,,1785690966
152,ungrounded,,1785690966
152,lexical,,1785690966
152,vector,,1785690966
153,ungrounded,,1785690966
153,lexical,,1785690966
153,vector,,1785690966
154,ungrounded,,1785690966
154,lexical,,1785690966
154,vector,,1785690966
155,ungrounded,,1785690966
155,lexical,,1785690966
155,vector,,1785690966
156,ungrounded,,1785690966
156,lexical,,1785690966
156,vector,,1785690966
157,ungrounded,,1785690966
157,lexical,,1785690966
157,vector,,1785690966
158,ungrounded,,1785690966
158,lexical,,1785690966
158,vector,,1785690966
159,ungrounded,,1785690966
159,lexical,,1785690966
159,vector,,1785690966
160,ungrounded,,1785690966
160,lexical,,1785690966
160,vector,,1785690966
161,ungrounded,,1785690966
161,lexical,,1785690966
161,vector,,1785690966
162,ungrounded,,1785690966
162,lexical,,1785690966
162,vector,,1785690966
163,ungrounded,,1785690967
163,lexical,,1785690967
163,vector,,1785690967
164,ungrounded,,1785690967
164,lexical,,1785690967
164,vector,,1785690967
165,ungrounded,,1785690967
165,lexical,,1785690967
165,vector,,1785690967
166,ungrounded,,1785690967
166,lexical,,1785690967
166,vector,,1785690967
167,ungrounded,,1785690967
167,lexical,,1785690967
167,vector,,1785690967
168,ungrounded,,1785690967
168,lexical,,1785690967
168,vector,,1785690967
169,ungrounded,,1785690967
169,lexical,,1785690967
169,vector,,1785690967
170,ungrounded,,1785690967
170,lexical,,1785690967
170,vector,,1785690967
171,ungrounded,,1785690967
171,lexical,,1785690967
171,vector,,1785690967
172,ungrounded,,1785690967
172,lexical,,1785690967
172,vector,,1785690967
173,ungrounded,,1785690967
173,lexical,,1785690967
173,vector,,1785690967
174,ungrounded,,1785690967
174,lexical,,1785690967
174,vector,,1785690967
175,ungrounded,,1785690967
175,lexical,,1785690967
175,vector,,1785690967
176,ungrounded,,1785690967
176,lexical,,1785690967
176,vector,,1785690967
177,ungrounded,,1785690967
177,lexical,,1785690967
177,vector,,1785690967
178,ungrounded,,1785690967
178,lexical,,1785690967
178,vector,,1785690967
179,ungrounded,,1785690967
179,lexical,,1785690967
179,vector,,1785690967
180,ungrounded,,1785690967
180,lexical,,1785690967
180,vector,,1785690967
181,ungrounded,,1785690967
181,lexical,,1785690967
181,vector,,1785690967
182,ungrounded,,1785690967
182,lexical,,1785690967
182,vector,,1785690967
183,ungrounded,,1785690967
183,lexical,,1785690967
183,vector,,1785690967
184,ungrounded,,1785690967
184,lexical,,1785690967
184,vector,,1785690967
185,ungrounded,,1785690967
185,lexical,,1785690967
185,vector,,1785690967
186,ungrounded,,1785690967
186,lexical,,1785690967
186,vector,,1785690967
187,ungrounded,,1785690967
187,lexical,,1785690967
187,vector,,1785690967
188,ungrounded,,1785690967
188,lexical,,1785690967
188,vector,,1785690967
189,ungrounded,,1785690967
189,lexical,,1785690967
189,vector,,1785690967
190,ungrounded,,1785690967
190,lexical,,1785690967
190,vector,,1785690967
191,ungrounded,,1785690968
191,lexical,,1785690968
191,vector,,1785690968
192,ungrounded,,1785690968
192,lexical,,1785690968
192,vector,,1785690968
193,ungrounded,,1785690968
193,lexical,,1785690968
193,vector,,1785690968
194,ungrounded,,1785690968
194,lexical,,1785690968
194,vector,,1785690968
195,ungrounded,,1785690968
195,lexical,,1785690968
195,vector,,1785690968
196,ungrounded,,1785690968
196,lexical,,1785690968
196,vector,,1785690968
197,ungrounded,,1785690968
197,lexical,,1785690968
